Net Emission  of building by building type [ton CO2/m2 (FA)],LF,RC,MT,CSA (Low-end),CSA (High-end),AAC (Low-end),AAC (High-end)
Net Emission Balance,0.057303447,0.204971681,-0.101940991,-0.067,-0.082,-0.104,-0.124
Process Emission,0.196303447,0.295971681,0.169059009,0.024,0.009,-0.013,-0.033
Biomass residue use,-0.139,-0.091,-0.271,-0.091,-0.091,-0.091,-0.091
Biogenic carbon stored,0,0,0,0,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,